Activity,Year,Percentage
Pesticide,1997,80.2883333333
Pesticide,1996,83.5106666667
Pesticide,1999,95.456
Pesticide,1998,77.3473333333
Pesticide,2002,95.78
Pesticide,2003,96.665
Pesticide,2000,96.6765
Pesticide,2001,98.265
Pesticide,2006,96.965
Pesticide,2004,53.072
Pesticide,2005,96.305
Pesticide,2009,66.697
Pesticide,2010,96.493
Manure,2010,6.837
Manure,1996,4.255
Insecticide,1997,61.554
Insecticide,1996,50.323
Insecticide,1999,38.274
Insecticide,1998,43.525
Insecticide,2000,55.387
Insecticide,2001,44.207
Insecticide,2005,21.992
Herbicide,1997,79.6513333333
Herbicide,1996,84.1126666667
Herbicide,1999,95.537
Herbicide,1998,76.1046666667
Herbicide,2002,96.159
Herbicide,2003,96.997
Herbicide,2000,96.867
Herbicide,2001,97.154
Herbicide,2006,96.965
Herbicide,2004,51.863
Herbicide,2005,95.254
Herbicide,2009,60.701
Herbicide,2010,92.865
